slide_id,fov,region,mixed_adjacent,exclude
uwa7509eyes,1,Adjacent soft tissue,0,0
uwa7509eyes,2,Adjacent soft tissue,0,0
uwa7509eyes,3,Optic nerve,1,0
uwa7509eyes,4,Optic nerve,0,0
uwa7509eyes,5,Optic nerve,0,0
uwa7509eyes,6,Optic nerve,0,0
uwa7509eyes,7,Optic nerve,0,0
uwa7509eyes,8,Optic nerve,1,0
uwa7509eyes,9,Adjacent soft tissue,0,0
uwa7509eyes,10,Adjacent soft tissue,0,0
uwa7509eyes,11,Adjacent soft tissue,0,0
uwa7509eyes,12,Optic nerve,0,0
uwa7509eyes,13,Optic nerve,0,0
uwa7509eyes,14,Optic nerve,0,0
uwa7509eyes,15,Optic nerve,0,0
uwa7509eyes,16,Optic nerve,0,0
uwa7509eyes,17,Optic nerve,0,0
uwa7509eyes,18,Adjacent soft tissue,0,0
uwa7509eyes,19,Adjacent soft tissue,0,0
uwa7509eyes,20,Adjacent soft tissue,0,0
uwa7509eyes,21,Optic nerve,0,0
uwa7509eyes,22,Optic nerve,0,0
uwa7509eyes,23,Optic nerve,0,0
uwa7509eyes,24,Optic nerve,0,0
uwa7509eyes,25,Optic nerve,0,0
uwa7509eyes,26,Optic nerve,1,0
uwa7509eyes,27,Adjacent soft tissue,0,0
uwa7509eyes,28,Adjacent soft tissue,0,0
uwa7509eyes,29,Adjacent soft tissue,0,0
uwa7509eyes,30,Optic nerve,1,0
uwa7509eyes,31,Optic nerve,0,0
uwa7509eyes,32,Optic nerve,0,0
uwa7509eyes,33,Optic nerve,0,0
uwa7509eyes,34,Optic nerve,0,0
uwa7509eyes,35,Optic nerve,1,0
uwa7509eyes,36,Adjacent soft tissue,0,0
uwa7509eyes,37,Adjacent soft tissue,0,0
uwa7509eyes,38,Adjacent soft tissue,0,0
uwa7509eyes,39,Adjacent soft tissue,1,0
uwa7509eyes,40,Optic nerve,1,0
uwa7509eyes,41,Optic nerve,0,0
uwa7509eyes,42,Optic nerve,1,0
uwa7509eyes,43,Adjacent soft tissue,1,0
uwa7509eyes,44,Adjacent soft tissue,0,0
uwa7509eyes,45,Adjacent soft tissue,0,0
uwa7509eyes,46,Adjacent soft tissue,0,0
uwa7509eyes,47,Adjacent soft tissue,0,0
uwa7509eyes,48,Adjacent soft tissue,0,0
uwa7509eyes,49,Adjacent soft tissue,0,0
uwa7509eyes,50,Adjacent soft tissue,0,0
uwa7509eyes,51,Adjacent soft tissue,0,0
uwa7509eyes,52,Adjacent soft tissue,0,0
uwa7509eyes,53,Adjacent soft tissue,0,0
uwa7509eyes,54,Adjacent soft tissue,0,0
uwa7509eyes,55,Adjacent soft tissue,0,0
uwa7509eyes,56,Adjacent soft tissue,0,0
uwa7509eyes,57,Adjacent soft tissue,0,0
uwa7509eyes,58,Adjacent soft tissue,0,0
