Slide,Case,Block,Region,FOVs
7104 A29 A23,7104,A29,Tumor bulk,1
7104 A29 A23,7104,A29,Tumor bulk,2
7104 A29 A23,7104,A29,Tumor bulk,3
7104 A29 A23,7104,A29,Tumor bulk,4
7104 A29 A23,7104,A29,Tumor bulk,5
7104 A29 A23,7104,A29,Tumor bulk,6
7104 A29 A23,7104,A29,Tumor bulk,7
7104 A29 A23,7104,A29,Tumor bulk,8
7104 A29 A23,7104,A29,Tumor bulk,9
7104 A29 A23,7104,A29,Tumor bulk,10
7104 A29 A23,7104,A29,Tumor bulk,11
7104 A29 A23,7104,A29,Tumor bulk,12
7104 A29 A23,7104,A29,Tumor bulk,13
7104 A29 A23,7104,A29,Tumor bulk,14
7104 A29 A23,7104,A29,Tumor bulk,15
7104 A29 A23,7104,A29,Tumor bulk,16
7104 A29 A23,7104,A29,Tumor bulk,17
7104 A29 A23,7104,A29,Tumor bulk,18
7104 A29 A23,7104,A29,Tumor bulk,19
7104 A29 A23,7104,A29,Tumor bulk,20
7104 A29 A23,7104,A29,Tumor bulk,21
7104 A29 A23,7104,A29,Tumor bulk,22
7104 A29 A23,7104,A29,Tumor bulk,23
7104 A29 A23,7104,A29,Tumor bulk,24
7104 A29 A23,7104,A29,Tumor bulk,25
7104 A29 A23,7104,A29,Tumor bulk,26
7104 A29 A23,7104,A29,Tumor bulk,27
7104 A29 A23,7104,A29,Tumor bulk,28
7104 A29 A23,7104,A29,Tumor bulk,29
7104 A29 A23,7104,A29,Tumor bulk,30
7104 A29 A23,7104,A29,Tumor bulk,31
7104 A29 A23,7104,A29,Tumor bulk,32
7104 A29 A23,7104,A29,Tumor bulk,33
7104 A29 A23,7104,A29,Tumor bulk,34
7104 A29 A23,7104,A29,Tumor bulk,35
7104 A29 A23,7104,A29,Tumor bulk,36
7104 A29 A23,7104,A29,Tumor bulk,37
7104 A29 A23,7104,A29,Tumor bulk,38
7104 A29 A23,7104,A29,Tumor bulk,39
7104 A29 A23,7104,A29,Tumor bulk,40
7104 A29 A23,7104,A29,Tumor bulk,41
7104 A29 A23,7104,A29,Tumor bulk,42
7104 A29 A23,7104,A29,Tumor bulk,43
7104 A29 A23,7104,A29,Tumor bulk,44
7104 A29 A23,7104,A29,Tumor bulk,45
7104 A29 A23,7104,A29,Tumor bulk,46
7104 A29 A23,7104,A29,Tumor bulk,47
7104 A29 A23,7104,A29,Tumor bulk,48
7104 A29 A23,7104,A29,Tumor bulk,49
7104 A29 A23,7104,A29,Tumor bulk,50
7104 A29 A23,7104,A29,Tumor bulk,51
7104 A29 A23,7104,A29,Tumor bulk,52
7104 A29 A23,7104,A29,Tumor bulk,53
7104 A29 A23,7104,A29,Tumor bulk,54
7104 A29 A23,7104,A29,Tumor bulk,55
7104 A29 A23,7104,A29,Tumor bulk,56
7104 A29 A23,7104,A29,Tumor bulk,57
7104 A29 A23,7104,A29,Tumor bulk,58
7104 A29 A23,7104,A29,Tumor bulk,59
7104 A29 A23,7104,A29,Tumor bulk,60
7104 A29 A23,7104,A29,Tumor bulk,61
7104 A29 A23,7104,A29,Tumor bulk,62
7104 A29 A23,7104,A29,Tumor bulk,63
7104 A29 A23,7104,A29,Tumor bulk,64
7104 A29 A23,7104,A29,Tumor bulk,65
7104 A29 A23,7104,A29,Tumor bulk,66
7104 A29 A23,7104,A29,Tumor bulk,67
7104 A29 A23,7104,A29,Tumor bulk,68
7104 A29 A23,7104,A29,Tumor bulk,69
7104 A29 A23,7104,A29,Tumor bulk,70
7104 A29 A23,7104,A29,Tumor bulk,71
7104 A29 A23,7104,A29,Tumor bulk,72
7104 A29 A23,7104,A29,Tumor bulk,73
7104 A29 A23,7104,A29,Tumor bulk,74
7104 A29 A23,7104,A29,Tumor bulk,75
7104 A29 A23,7104,A29,Tumor bulk,76
7104 A29 A23,7104,A29,Tumor bulk,77
7104 A29 A23,7104,A29,Tumor bulk,78
7104 A29 A23,7104,A29,Tumor bulk,79
7104 A29 A23,7104,A29,Tumor bulk,80
7104 A29 A23,7104,A29,Tumor bulk,81
7104 A29 A23,7104,A29,Tumor bulk,82
7104 A29 A23,7104,A29,Tumor bulk,83
