Canonical_slide_name,AtoMx_export_name,Name_matches_canonical,AtoMx_flatfile_folder,Export_source,Note
7104 A29 A23,7104 A29 7104 A23,no,7104A297104A23,Remaining-cohort part1 (5.13.26),Export repeats case number on 2nd block
7104 A6 7130 G2,7104 A6 7130 G2,yes,7104A67130G2,Remaining-cohort part1 (5.13.26),
7112 A8 7112 A7,7112 A8 7112 A7,yes,7112A87112A7,Remaining-cohort part1 (5.13.26),
7132 A23 7132 G2,7132 A23 7132 G2,yes,7132A237132G2,Remaining-cohort part1 (5.13.26),
7132 A7 7423 G1,7132 A7 7423 G1,yes,7132A77423G1,Remaining-cohort part1 (5.13.26),
7134 A7 7439 A6,7134 A7 7439 A6,yes,7134A77439A6,Wenyu-cohort part1 (4.29.26),
7134 G2 G7,7134 G2 G7,yes,7134G2G7,Wenyu-cohort part1 (4.29.26),
7147 A6 7147 A10,7147 A6 7147 A10,yes,7147A67147A10,Wenyu-cohort part1 (4.29.26),
7243 A7 7147 A1,7243 A7 7147 A1,yes,7243A77147A1,Wenyu-cohort part1 (4.29.26),
7243 G3 7332 A7,7243 G3 7332 A7,yes,7243G37332A7,Wenyu-cohort part1 (4.29.26),
7243 G4 7971 G2,7243 G4 7971 G2,yes,7243G47971G2,Wenyu-cohort part1 (4.29.26),
7274 A10 7130 A7,7274 A10 7130 A7,yes,7274A107130A7,Remaining-cohort part1 (5.13.26),
7274 A6 7470 G3,7274 A6 7470 G3,yes,7274A67470G3,Remaining-cohort part1 (5.13.26),
7274 G6 7130 G7,7274 G6 7130 G7,yes,7274G67130G7,Remaining-cohort part1 (5.13.26),
7294 A7 7294 G6,7294 A7 7294 G6,yes,7294A77294G6,Remaining-cohort part1 (5.13.26),
7294 G2 7333 G5,7294 G2 7333 G5,yes,7294G27333G5,Remaining-cohort part1 (5.13.26),
7302 A7 7302 G1,7302 A7 7302 G1,yes,7302A77302G1,Remaining-cohort part2 (5.13.26),
7329 A6 7822 A7,7329 A6 7822 A7,yes,7329A67822A7,Wenyu-cohort part2 (4.29.26),
7329 G3 7329 G5,7329 G3 G5,no,7329G3G5,Remaining-cohort part2 (5.13.26),Export omits case number on 2nd block
7332 G2 7332 G3,7332 G2 7332 G3,yes,7332G27332G3,Remaining-cohort part2 (5.13.26),
7333 G6 7333 A7,7333 G6 7333 A7,yes,7333G67333A7,Remaining-cohort part2 (5.13.26),
7347 G1 7347 G3,7347 G1 7347 G3,yes,7347G17347G3,Wenyu-cohort part1 (4.29.26),
7353 A6 A18 A17,7353 A6 A18 A17,yes,7353A6A18A17,Wenyu-cohort part1 (4.29.26),
7423 A7 7347 A6,7423 A7 7347 A6,yes,7423A77347A6,Wenyu-cohort part1 (4.29.26),
7439 A1 7439 G4,7439 A1 7439 G4,yes,7439A17439G4,Remaining-cohort part2 (5.13.26),
7454 A7 7455 A6,7454 A7 7455 A6,yes,7454A77455A6,Wenyu-cohort part1 (4.29.26),
7454 G5 7455 G2,7454 G5 7455 G2,yes,7454G57455G2,Wenyu-cohort part1 (4.29.26),
7454 G7 7455 G7,7454 G7 7455 G7,yes,7454G77455G7,Wenyu-cohort part1 (4.29.26),
7464 A14 7112 A10,7464 A14 7112 A10,yes,7464A147112A10,Wenyu-cohort part2 (4.29.26),
7464 A7 7470 A6,7464 A7 7470 A6,yes,7464A77470A6,Wenyu-cohort part2 (4.29.26),
7465 G4 7465 G6,7465 G4 G6,no,7465G4G6,Remaining-cohort part2 (5.13.26),Export omits case number on 2nd block
7470 G4 7147 A2,7470 G4 7147 A2,yes,7470G47147A2,Wenyu-cohort part1 (4.29.26),
7488 A7 7495 A7,7488 A7 7495 A7,yes,7488A77495A7,Remaining-cohort part2 (5.13.26),
7488 G4 7749 G5,7488 G4 7749 G5,yes,7488G47749G5,Remaining-cohort part2 (5.13.26),
7495 G3 7302 G3,7495 G3 7302 G3,yes,7495G37302G3,Remaining-cohort part2 (5.13.26),
7522 A7 7583 A6,7522 A7 7583 A6,yes,7522A77583A6,Wenyu-cohort part2 (4.29.26),
7560 A23 7423 A19,7560 A23 7423 A19,yes,7560A237423A19,Remaining-cohort part2 (5.13.26),
7560 A6 7465 A6,7560 A6 7465 A6,yes,7560A67465A6,Remaining-cohort part3 (5.13.26),
7583 G2 7583 G7,7583 G2 7583 G7,yes,7583G27583G7,Remaining-cohort part3 (5.13.26),
7605 A6 8021 A7,7605 A6 8021 A7,yes,7605A68021A7,Wenyu-cohort part2 (4.29.26),
7605 G2 7670 G3,7605 G2 7670 G3,yes,7605G27670G3,Wenyu-cohort part2 (4.29.26),
7605 G7 8021 A3,7605 G7 8021 A3,yes,7605G78021A3,Wenyu-cohort part2 (4.29.26),
7670 A4 7697 G5,7670 A4 7697 G5,yes,7670A47697G5,Remaining-cohort part3 (5.13.26),
7670 A7 7697 A7,7670 A7 7697 A7,yes,7670A77697A7,Remaining-cohort part3 (5.13.26),
7697 G3 7464 A5,7697 G3 7464 A5,yes,7697G37464A5,Wenyu-cohort part2 (4.29.26),
7706 G7 7495 G5,Slide 4 7706 G7 7495 G5,no,Slide47706G77495G5,Remaining-cohort part3 (5.13.26),"Export carries ""Slide 4 "" run-position prefix"
7749 A6 7877 A7,7749 A6 7877 A7,yes,7749A67877A7,Remaining-cohort part3 (5.13.26),
7749 G1 7706 G5,Slide 3 7749 G1 7706 G5,no,Slide37749G17706G5,Remaining-cohort part3 (5.13.26),"Export carries ""Slide 3 "" run-position prefix"
7822 G3 7938 G2,7822 G3 7938 G2,yes,7822G37938G2,Wenyu-cohort part2 (4.29.26),
7822 G7 7938 A6,7822 G7 7938 A6,yes,7822G77938A6,Wenyu-cohort part2 (4.29.26),
7877 G2 7877 G7,7877 G2 G7,no,7877G2G7,Remaining-cohort part3 (5.13.26),Export omits case number on 2nd block
7938 G5 7353 G6,7938 G5 7353 G6,yes,7938G57353G6,Wenyu-cohort part1 (4.29.26),
7971 G1 7971 A6,7971 G1 7971 A6,yes,7971G17971A6,Wenyu-cohort part2 (4.29.26),
8021 G3 7560 A2,8021 G3 7560 A2,yes,8021G37560A2,Remaining-cohort part3 (5.13.26),
8157 A23 8157 G7,8157 A23 8157 G7,yes,8157A238157G7,Wenyu-cohort part2 (4.29.26),
8157 A7 7488 A3,8157 A7 7488 A3,yes,8157A77488A3,Wenyu-cohort part2 (4.29.26),
Uwa 7522 G2 G5 Glioblastoma,UWA 7522 G2 G5 Glioblastoma,no,UWA7522G2G5Glioblastoma,Wenyu-cohort part2 (4.29.26),Export uses uppercase UWA; canonical is Uwa
