gbmap_type,compartment,note
AC-like,Malignant,
AC-like_Prolif,Malignant,
MES-like_hypoxia_MHC,Malignant,
MES-like_hypoxia_independent,Malignant,
NPC-like_OPC,Malignant,
NPC-like_Prolif,Malignant,
NPC-like_neural,Malignant,
OPC-like,Malignant,
OPC-like_Prolif,Malignant,
Astrocyte,Normal_CNS,
Oligodendrocyte,Normal_CNS,
OPC,Normal_CNS,non-malignant OPC; distinct from the malignant OPC-like states
Neuron,Normal_CNS,
RG,Normal_CNS,REVIEW: radial glia is a progenitor — arguably malignant-adjacent in GBM
TAM-BDM_INF,Myeloid,
TAM-BDM_MHC,Myeloid,
TAM-BDM_anti-infl,Myeloid,
TAM-BDM_hypoxia_MES,Myeloid,
TAM-MG_aging_sig,Myeloid,
TAM-MG_pro-infl_I,Myeloid,
TAM-MG_pro-infl_II,Myeloid,
TAM-MG_prolif,Myeloid,
Mono_anti-infl,Myeloid,
Mono_hypoxia,Myeloid,
Mono_naive,Myeloid,
DC1,Myeloid,
DC2,Myeloid,
DC3,Myeloid,
cDC1,Myeloid,
cDC2,Myeloid,
pDC,Myeloid,
Mast,Myeloid,
CD4_INF,Lymphoid,
CD4_rest,Lymphoid,
CD8_EM,Lymphoid,
CD8_NK_sig,Lymphoid,
CD8_cytotoxic,Lymphoid,
NK,Lymphoid,
Reg_T,Lymphoid,
Prolif_T,Lymphoid,
B_cell,Lymphoid,
Plasma_B,Lymphoid,
Endo_arterial,Vascular_mural,
Endo_capilar,Vascular_mural,
Scavenging_endothelial,Vascular_mural,
Tip-like,Vascular_mural,
Pericyte,Vascular_mural,
Scavenging_pericyte,Vascular_mural,
SMC,Vascular_mural,
SMC_COL,Vascular_mural,
SMC_prolif,Vascular_mural,
VLMC,Vascular_mural,
Perivascular_fibroblast,Vascular_mural,
Stress_sig,Stress_sig,REVIEW: a cross-cutting cell STATE not a lineage — kept separate so it never silently counts as malignant
