# Gene-signature modules for Stage-5 continuum-vs-hybrid scoring (Phase 2).
# Each module is scored per cell with scanpy sc.tl.score_genes on the typed cohort.
# The four Neftel GBM malignant states (AC/MES/OPC/NPC-like) sit on two axes: AC<->MES and
# OPC<->NPC. A cell co-elevating states WITHIN an axis is a continuum (gradient along one arm);
# a cell co-elevating states ACROSS axes (AC/MES x OPC/NPC) beyond chance is a genuine two-state
# HYBRID (insitucnv_hybrid_continuum.py tests this per state-pair). Cycling is a proliferation
# module. Gene lists are canonical Neftel-like signatures intersected with the ~6k CosMx panel.
# Columns: module,gene
module,gene
AClike,GFAP
AClike,AQP4
AClike,S100B
AClike,HOPX
AClike,CLU
AClike,SPARCL1
AClike,ALDOC
AClike,GJA1
AClike,AGT
AClike,APOE
AClike,CST3
AClike,CRYAB
AClike,GATM
AClike,PON2
AClike,EDNRB
AClike,ATP1A2
AClike,SLC1A3
AClike,PTPRZ1
MESlike,CHI3L1
MESlike,CD44
MESlike,VIM
MESlike,ANXA1
MESlike,ANXA2
MESlike,LGALS1
MESlike,LGALS3
MESlike,SERPINE1
MESlike,TIMP1
MESlike,ADM
MESlike,DDIT3
MESlike,ENO2
MESlike,LDHA
MESlike,VEGFA
MESlike,HILPDA
MESlike,NDRG1
MESlike,SLC2A1
MESlike,PLAUR
MESlike,EMP1
MESlike,EMP3
MESlike,SOD2
MESlike,IGFBP5
MESlike,A2M
OPClike,OLIG1
OPClike,OLIG2
OPClike,PDGFRA
OPClike,CSPG4
OPClike,BCAN
OPClike,OMG
OPClike,APOD
OPClike,PLLP
OPClike,PLP1
OPClike,ALCAM
OPClike,NKX2-2
OPClike,SOX10
OPClike,TNR
NPClike,DLL3
NPClike,DCX
NPClike,SOX4
NPClike,SOX11
NPClike,STMN1
NPClike,STMN2
NPClike,CD24
NPClike,ELAVL4
NPClike,MARCKSL1
NPClike,TCF4
NPClike,CCND2
NPClike,BEX1
NPClike,TUBA1A
NPClike,DLL1
NPClike,ASCL1
Cycling,MKI67
Cycling,TOP2A
Cycling,CENPF
Cycling,CCNB1
Cycling,CDK1
Cycling,UBE2C
Cycling,BIRC5
Cycling,PCNA
Cycling,RRM2
Cycling,TYMS
Cycling,AURKB
