gene,AC-like,AC-like_Prolif,Astrocyte,B_cell,CD4_INF,CD4_rest,CD8_EM,CD8_NK_sig,CD8_cytotoxic,DC1,DC2,DC3,Endo_arterial,Endo_capilar,MES-like_hypoxia_independent,MES-like_hypoxia_MHC,Mast,Mono_anti-infl,Mono_hypoxia,Mono_naive,NK,NPC-like_OPC,NPC-like_Prolif,NPC-like_neural,Neuron,OPC,OPC-like,OPC-like_Prolif,Oligodendrocyte,Pericyte,Perivascular_fibroblast,Plasma_B,Prolif_T,RG,Reg_T,SMC,SMC_COL,SMC_prolif,Scavenging_endothelial,Scavenging_pericyte,Stress_sig,TAM-BDM_INF,TAM-BDM_MHC,TAM-BDM_anti-infl,TAM-BDM_hypoxia_MES,TAM-MG_aging_sig,TAM-MG_pro-infl_I,TAM-MG_pro-infl_II,TAM-MG_prolif,Tip-like,VLMC,cDC1,cDC2,pDC,Stress_denovo,MES_AClike_denovo,Hypoxia_denovo,OPClike_denovo,MESlike_denovo,Low_signal_denovo
A1BG,1.0641718073237958,1.8922125704440218,0.5901480437081424,2.9250000000000003,1.0179012345679013,1.783809523809524,2.499040052962595,1.3559322033898304,1.942513368983957,2.0523809523809526,3.316666666666667,3.2300000000000004,3.4415794370783903,1.2122910805891114,2.804294175715696,1.4610858938547486,1.338262195121951,1.84514956501013,2.9673752310536043,2.2515314804310833,2.0196969696969695,0.888888888888889,1.6111444830856783,1.2892108508014797,1.3435162094763093,1.048584686774942,0.9925704351383137,1.117028413575375,0.5223479841374752,1.5558103501704368,2.589980885632367,8.720071258907364,2.0112970711297073,0.0,0.9887776243093922,1.142039800995025,5.262234910277325,1.030952380952381,0.3141025641025641,0.3,1.7562874251497007,2.3203044375644994,2.2321411983279145,2.3856726730795286,3.6775975650433623,1.2634283743389285,1.3556808874990693,2.1953322784810125,1.1452512424075096,0.962,1.090909090909091,2.977272727272727,4.664258188824663,6.661111111111111,3.937433728289195,1.1422523700555736,9.504087819057766,0.932301088897851,2.4531248733296405,3.813807773834937
A2M,0.20323205145032158,0.056360601600918915,0.0,0.04038461538461538,0.05493827160493827,0.1361904761904762,0.04058258854683879,0.1694915254237288,0.029857397504456325,0.09999999999999999,0.0,0.03,3.5604442893696207,1.6154021181532352,0.9913622902270484,0.2763791899441341,0.13704268292682925,0.37190442140388513,0.06903881700554527,0.12958026091888825,0.0601010101010101,0.002364066193853426,0.020091685109073665,0.008076448828606657,0.016832917705735657,0.036055684454756376,0.07635117860612568,0.010872138910812942,0.005989755452742894,0.713232104121475,0.1844377190187958,0.07399049881235154,0.053138075313807535,0.0,0.005352209944751381,0.3460199004975124,0.14641109298531813,0.888095238095238,0.7927350427350428,0.0,0.0,0.9245356037151702,0.5319554110543427,0.6913900555480288,0.2776642761841227,1.0812025753046677,1.2874060010423647,0.42634493670886076,0.5671176145775815,2.712,0.6103896103896104,0.06818181818181818,0.0804431599229287,0.0,0.2600052632254586,1.1745723003160073,0.10197080418770557,0.11011119433081754,0.6182219534933996,0.05456015783740477
AAAS,0.03378724242026513,0.02965468968735418,0.01982728234050052,0.06602564102564103,0.005555555555555555,0.0,0.025355842436279377,0.0423728813559322,0.010249554367201423,0.07619047619047618,0.0,0.0,0.03497324959292858,0.024429091510838986,0.07922013820335637,0.03371159217877095,0.008993902439024391,0.03285067334048385,0.03022181146025878,0.008763471355643787,0.01296296296296296,0.02127659574468085,0.03842870692380651,0.02533908754623921,0.02930174563591022,0.04533642691415313,0.0571764585570384,0.024289660615627467,0.021687045604758756,0.04449953517198636,0.054460019114367625,0.032422802850356286,0.044769874476987444,0.12857142857142856,0.00949585635359116,0.017661691542288555,0.006933115823817289,0.03095238095238095,0.0,0.0,0.061676646706586825,0.007610939112487097,0.010822108685555037,0.04215553448042271,0.030416110740493666,0.02785697861577374,0.020486188668006854,0.018117088607594933,0.011623412479293207,0.041999999999999996,0.012987012987012988,0.0,0.0,0.0,0.029180734027394448,0.13530020703933746,0.02211950479455227,0.09490119260240824,0.062419437651159954,0.03617042926504281
AAK1,0.03601850636566479,0.03134175670339926,0.0466161438138879,0.0,0.05493827160493827,0.021904761904761906,0.07831843760344256,0.05084745762711865,0.10115864527629233,0.052380952380952375,0.20555555555555555,0.01,0.05474528960223307,0.06356528214463016,0.03923988153998026,0.020792597765363123,0.0,0.06264450005958765,0.02467652495378928,0.01727169597277368,0.06683501683501684,0.01713947990543735,0.052181473284856145,0.061097410604192354,0.31109725685785533,0.09962877030162413,0.06556220279183923,0.017975532754538278,0.02747025776602776,0.05813449023861172,0.047769990442816185,0.027672209026128266,0.06569037656903765,0.0,0.010186464088397788,0.027611940298507463,0.015089722675367047,0.0,0.03205128205128205,0.0,0.09161676646706587,0.04424664602683179,0.040083604273107296,0.08903265140224902,0.042507505003335555,0.07372959300988734,0.05495867768595042,0.09723101265822784,0.01714522363335174,0.032,0.05194805194805194,0.0,0.0,0.0,0.036215484152556515,0.09992917075296937,0.0026112359290313553,0.08468197269113326,0.05023881585169772,0.02919006575487432
AAMP,0.09481887386796167,0.05420689902724434,0.07199506520972859,0.02756410256410256,0.005555555555555555,0.012380952380952378,0.04422376696458127,0.008474576271186442,0.03163992869875223,0.004761904761904759,0.09444444444444444,0.0,0.0635845545475692,0.06050388879695516,0.10636722606120436,0.054661312849162015,0.008993902439024391,0.03547253009176499,0.052402957486136784,0.019540555870674988,0.01632996632996633,0.07328605200945626,0.06972810622826431,0.05863131935881627,0.21384039900249374,0.11169373549883992,0.13760801758960986,0.04125887924230466,0.051759748843357566,0.06619150914161759,0.054460019114367625,0.03598574821852732,0.036401673640167366,0.0,0.008805248618784529,0.04253731343283582,0.0297716150081566,0.1261904761904762,0.0,0.1,0.007784431137724548,0.05301857585139319,0.029865304226660474,0.05299417423113399,0.04642678452301535,0.0451023223729593,0.041333482242573154,0.04026898734177216,0.027636664826062945,0.011999999999999997,0.012987012987012988,0.0,0.018786127167630055,0.0,0.0398227191619918,0.23197668083251605,0.0411413698059017,0.107165696837011,0.11051363986434448,0.044228320117735406
AARS1,0.13800039375246095,0.08665601780394126,0.11323581247796968,0.04038461538461538,0.005555555555555555,0.012380952380952378,0.06673286991062563,0.09322033898305085,0.04590017825311943,0.004761904761904759,0.09444444444444444,0.0,0.08824145150034891,0.07494208174747642,0.1991609081934847,0.1395076815642458,0.015091463414634146,0.04166964604933858,0.061645101663585944,0.01273397617697107,0.04326599326599327,0.10638297872340426,0.1418115712930762,0.12274969173859432,0.3559850374064838,0.15809744779582366,0.21589200797668354,0.07559194948697712,0.11636649041639129,0.08912302448094206,0.06019432940426887,0.09180522565320665,0.08242677824267783,0.0,0.013639502762430939,0.052487562189054725,0.05097879282218597,0.07857142857142857,0.014957264957264956,0.0,0.07365269461077845,0.050438596491228074,0.03938690199721319,0.09289391681343992,0.06518929286190794,0.10074729822947805,0.08861216588489315,0.05292721518987342,0.06297625621203755,0.022,0.14285714285714285,0.0,0.011078998073217723,0.0,0.10526643474242289,0.4492808107224583,0.06427450548941493,0.40515065967621133,0.12232945102754994,0.12216696532525582
AASS,0.16700682504265651,0.09268638501023008,0.14813182939725061,0.0,0.017901234567901235,0.0028571428571428567,0.005825885468387949,0.01694915254237288,0.017379679144385027,0.028571428571428567,0.0,0.0,0.030786229355664104,0.05843537977825583,0.0851431391905232,0.06897695530726256,0.012042682926829269,0.014855202002145155,0.004343807763401108,0.014435621100397051,0.00622895622895623,0.04373522458628841,0.07273158393929813,0.02903822441430333,0.0,0.13489559164733178,0.1782584240936749,0.032182320441988946,0.05737772637144745,0.07083978927796716,0.19017202930869706,0.026484560570071255,0.023849372384937235,0.0,0.00397099447513812,0.012686567164179105,0.03384991843393148,0.03095238095238095,0.006410256410256412,0.0,0.025748502994011976,0.00812693498452012,0.005945192754296329,0.02596531635279772,0.014989159439626417,0.02912163715796735,0.019369369369369373,0.008623417721518988,0.013832136940916619,0.0019999999999999983,0.06493506493506493,0.0,0.011078998073217723,0.0,0.04022067035520353,0.3912226217718208,0.03862828322601566,0.35383130725355766,0.17030880544783883,0.07734568383891074
AATK,0.003533928337052107,0.004205104275099606,0.0029080014099400753,0.0,0.0,0.0,0.0,0.05932203389830509,0.015597147950089124,0.028571428571428567,0.0,0.0,0.019620842056292154,0.008542942247228194,0.006663376110562683,0.0,0.0,0.028560362292932906,0.04870609981515711,0.02010777084515031,0.0,0.01359338061465721,0.014875118558330697,0.02903822441430333,0.13902743142144638,0.05461716937354988,0.05323924937362581,0.010872138910812942,0.17965135492399206,0.008862720793306477,0.006355527237973876,0.013420427553444175,0.002928870292887027,0.0,0.0,0.0,0.003670473083197387,0.0,0.0,0.0,0.01976047904191617,0.003482972136222909,0.0,0.024136295894865194,0.01807454969979987,0.012451138192687974,0.007084357084357085,0.01653481012658228,0.009414688017669795,0.0,0.0,0.0,0.0,0.0,0.009488568531046612,0.026375721913479346,0.003688273034696807,0.029639338595379386,0.03247118671548824,0.02241642468715826
ABAT,0.13314411340070875,0.06795470045586703,0.12522030313711666,0.02756410256410256,0.005555555555555555,0.0,0.031976166832174774,0.0,0.004901960784313722,0.0,0.0,0.0,0.01915561758548499,0.024842793314578848,0.02541954590325765,0.03999650837988827,0.0059451219512195105,0.01628530568466214,0.028373382624768944,0.018973340896199658,0.02306397306397306,0.14657210401891255,0.20188112551375276,0.07959309494451294,0.5105985037406484,0.2300232018561485,0.27633072557140664,0.030603788476716656,0.016564771976206212,0.017539510381158974,0.030567059573112457,0.005106888361045128,0.01548117154811715,0.0,0.005352209944751381,0.0027363184079601983,0.016721044045676994,0.0,0.03205128205128205,0.0,0.0,0.018446852425180595,0.011054342777519741,0.037752337081696244,0.02149349566377585,0.03544492986893538,0.025102375102375105,0.029193037974683544,0.012175593594699061,0.041999999999999996,0.012987012987012988,0.1590909090909091,0.001445086705202308,0.0,0.035554371686414454,0.24572845156369183,0.020631340621670442,0.1537175203088091,0.08981401413303428,0.07647702114031528
ABCA1,0.026830948943430896,0.003164148031156897,0.01700740218540711,0.04038461538461538,0.05493827160493827,0.0,0.0015226746110559401,0.008474576271186442,0.0,0.028571428571428567,0.0,0.01,0.038462433123982315,0.04532103259970213,0.3585883514313919,0.06792946927374302,0.0028963414634146332,0.19290311047550948,0.23724584103512014,0.034855360181508796,0.0028619528619528607,0.01713947990543735,0.01677205184950996,0.02040690505548705,0.03428927680798005,0.03327146171693736,0.04372858822927851,0.0006116811365430141,0.014251487111698612,0.09625038735667804,0.15449187639375597,0.0169833729216152,0.002928870292887027,0.0,0.0,0.0,0.03792822185970636,0.0,0.014957264957264956,0.0,0.01976047904191617,0.11184210526315791,0.08745935903390618,0.20798672266630536,0.34078969312875246,0.07338468613474362,0.08697416424689151,0.12096518987341773,0.027084483710657095,0.082,0.012987012987012988,0.06818181818181818,0.005298651252408474,0.0,0.09359106021900152,0.4036231884057971,0.038460358085885014,0.20311401739932017,0.15754043317885177,0.043883425680068644
ABCA2,0.03713413833836462,0.007148497792454861,0.05754317941487486,0.014743589743589743,0.030246913580246913,0.012380952380952378,0.053492221118834817,0.07627118644067797,0.06550802139037433,0.004761904761904759,0.0,0.01,0.01659688299604559,0.013672844613602513,0.03627838104639684,0.01520600558659218,0.0,0.005321177452031938,0.004343807763401108,0.01273397617697107,0.04326599326599327,0.02836879432624113,0.019459374012013912,0.0376695437731196,0.0816708229426434,0.12839907192575406,0.08731911847420361,0.008898973954222573,0.5304444811632518,0.019088937093275485,0.03438993309971329,0.01223277909738717,0.01548117154811715,0.0,0.006733425414364641,0.0027363184079601983,0.011011419249592168,0.03095238095238095,0.0,0.0,0.03173652694610778,0.0009029927760577892,0.0026939154667905245,0.014042812627015306,0.00840143428952635,0.013485858818119107,0.007456630183902911,0.0,0.0011319712865819984,0.0019999999999999983,0.0,0.0,0.0,0.0,0.011080373303893498,0.172066034651847,0.0005845532033168094,0.06861496802442818,0.0692562592047128,0.030728166414779486
ABCA5,0.0,0.0012976058006389304,0.0,0.0,0.0,0.0028571428571428567,0.0021847070506454784,0.0,0.0,0.028571428571428567,0.0,0.0,0.011014189346359612,0.0066812841303988055,0.021470878578479763,0.0,0.0028963414634146332,0.006512930520796092,0.00988909426987061,0.0025241066364152,0.01296296296296296,0.008865248226950354,0.005864685425229211,0.010542540073982734,0.11658354114713217,0.06575406032482599,0.007040957202024849,0.008109707971586423,0.02185228023793787,0.04449953517198636,0.022284166932144,0.01223277909738717,0.0,0.0,0.007424033149171269,0.0,0.0,0.03095238095238095,0.0,0.0,0.03173652694610778,0.0,0.0,0.005507383823330169,0.011820380253502332,0.00624281444010117,0.0026915345097163253,0.0,0.0011319712865819984,0.011999999999999997,0.0,0.0,0.0,0.0,0.0,0.0155007082924703,0.010613737434567096,0.006082560350290948,0.03272114955884936,0.004585810700082165
ABCB1,0.017905893161832262,0.008081768907713843,0.0,0.0,0.017901234567901235,0.0028571428571428567,0.03263819927176431,0.09322033898305085,0.05124777183600712,0.07619047619047618,0.0,0.01,0.36109560362875087,0.6475881184841965,0.006663376110562683,0.009619413407821225,0.06692073170731708,0.00329519723513288,0.0,0.030317640385706186,0.10387205387205388,0.00531914893617021,0.009026240910527977,0.008076448828606657,0.016832917705735657,0.013317865429234337,0.013534795725315744,0.0037687450670876067,0.004006939854593523,0.06030368763557483,0.015275565466709145,0.026484560570071255,0.0071129707112970696,0.0,0.0060428176795580095,0.022636815920398012,0.0,0.0,0.22863247863247865,0.0,0.0,0.0,0.0,0.0027299823872104015,0.0030645430286857893,0.005323062773051276,8.562281289553955e-05,0.0,0.0,0.5619999999999999,0.0,0.06818181818181818,0.0,0.10555555555555556,0.04670342366397515,0.008635719734117898,0.0,0.024590943135334442,0.04059160124846306,0.012344864446846102
ABCB10,0.04855295970599816,0.03489536594996231,0.05296087416284807,0.014743589743589743,0.05493827160493827,0.031428571428571424,0.07169811320754715,0.008474576271186442,0.07798573975044563,0.0,0.09444444444444444,0.0,0.06311933007676204,0.06071073969882508,0.07576505429417571,0.03580656424581005,0.012042682926829269,0.05203789774758671,0.019131238447319777,0.034288145207033466,0.04663299663299664,0.03309692671394798,0.051707239962061335,0.030271270036991364,0.06670822942643391,0.08153132250580046,0.08315181265020197,0.021921862667719023,0.027305023132848646,0.08137589092035946,0.05828289264096846,0.058551068883610446,0.044769874476987444,0.0,0.027451657458563535,0.032587064676616914,0.01835236541598695,0.0,0.057692307692307696,0.0,0.09760479041916167,0.02567079463364293,0.039851370181142584,0.0817165695705189,0.04984573048699133,0.07326971717636238,0.04840667113394387,0.054509493670886075,0.021010491441192714,0.032,0.025974025974025972,0.0,0.026493256262042388,0.0,0.05274971437374036,0.1285223929388689,0.019328473155139664,0.10144034107276603,0.09899508181216306,0.05865176265692966
ABCB7,0.02617469484184276,0.01755806023188198,0.009957701797673593,0.02756410256410256,0.005555555555555555,0.0,0.007811982787156571,0.01694915254237288,0.012032085561497326,0.0,0.0,0.0,0.014270760642009769,0.017644381929505213,0.021964461994077,0.014158519553072624,0.0,0.013186747705875341,0.0,0.00706182643221781,0.019696969696969695,0.0070921985815602835,0.024834018337021813,0.009309494451294696,0.02680798004987531,0.03466357308584686,0.030894308943089432,0.011661404893449093,0.015077660277594183,0.02125813449023861,0.02005415737496018,0.0074821852731591434,0.0,0.0,0.0,0.012686567164179105,0.004486133768352364,0.0,0.0,0.0,0.013772455089820355,0.010190918472652216,0.006874129122155129,0.015939574583389782,0.006983822548365576,0.019119337778799723,0.016912366912366916,0.0070411392405063285,0.012175593594699061,0.0,0.06493506493506493,0.06818181818181818,0.003371868978805391,0.0,0.007319092671279476,0.07859322218589954,0.002518587575855838,0.11569971769314974,0.02306717920309143,0.01015553453817886
ABCB8,0.06410618191363696,0.04221795470045587,0.03427916813535424,0.0,0.0,0.031428571428571424,0.04223766964581264,0.008474576271186442,0.04590017825311943,0.0,0.09444444444444444,0.0,0.021714352174924397,0.02062303491643223,0.0589832181638697,0.03615572625698324,0.008993902439024391,0.02427005124538196,0.019131238447319777,0.014435621100397051,0.03989898989898989,0.03723404255319149,0.07399620613341765,0.10055487053020962,0.13403990024937654,0.07781902552204177,0.11523751086567469,0.03336621941594317,0.026644084600132185,0.03954136969321351,0.04522140809174896,0.02529691211401425,0.057322175732217574,0.0,0.01225828729281768,0.03756218905472637,0.03466557911908645,0.03095238095238095,0.006410256410256412,0.0,0.061676646706586825,0.014834881320949431,0.018021365536460752,0.04262972496951632,0.039255336891260845,0.04257300528857208,0.02577246668155759,0.03710443037974684,0.007758144671452237,0.032,0.0,0.06818181818181818,0.013005780346820803,0.0,0.029354035353470517,0.23485343794268276,0.029531373048594052,0.0635089589214726,0.11190532488413885,0.05057137868873707
ABCB9,0.013312114450715319,0.012425069097957571,0.0,0.05320512820512821,0.0,0.0,0.03528632903012247,0.0423728813559322,0.015597147950089124,0.028571428571428567,0.0,0.0,0.016364270760642004,0.024553202051960942,0.018509378084896347,0.0124127094972067,0.0,0.013544273626504589,0.01728280961182994,0.021242200794100965,0.04326599326599327,0.01359338061465721,0.01534935188112551,0.027805178791615287,0.06920199501246883,0.032807424593967516,0.030894308943089432,0.01639700078926598,0.009955386649041637,0.007933064766036568,0.013682701497292133,0.02410926365795724,0.02803347280334728,0.0,0.0025897790055248605,0.0027363184079601983,0.005301794453507334,0.0,0.006410256410256412,0.0,0.013772455089820355,0.001934984520123837,0.008499767765908033,0.027387887820078578,0.02324466310873916,0.023488158197286734,0.015051001414637779,0.024446202531645565,0.005549420209828824,0.022,0.0,0.0,0.0,0.0,0.019000885762333275,0.035027786858450476,0.006073968128966503,0.052144667857348614,0.0425507694802124,0.02759091235289771
ABCC1,0.020334033337708363,0.009697045837969777,0.0,0.1685897435897436,0.005555555555555555,0.0028571428571428567,0.28023833167825224,0.05932203389830509,0.16889483065953653,0.0,0.0,0.0,0.03869504535938591,0.006929505212642725,0.1320335636722606,0.03056913407821229,0.039481707317073164,0.04500655464187821,0.04870609981515711,0.007629041406693137,0.056734006734006734,0.023640661938534275,0.01266202971862156,0.04876695437731196,0.08665835411471322,0.015174013921113689,0.05300915273303676,0.006136543014996051,0.012929610046265697,0.0008057018903005874,0.04107996177126473,0.02529691211401425,0.11589958158995814,0.0,0.041954419889502756,0.0,0.02161500815660685,0.0,0.006410256410256412,0.0,0.4029940119760479,0.02051083591331269,0.02313051555968416,0.05773607912207018,0.04275767178118746,0.03544492986893538,0.028229469138560045,0.06242088607594937,0.0011319712865819984,0.0,0.012987012987012988,0.0,0.02263969171483622,0.0,0.03590739290619906,0.24457338999673095,0.021326203270486864,0.04312813274183326,0.08426754131142668,0.02170735599853903
ABCC3,0.04153104081900512,0.01023547148138842,0.0,0.0019230769230769197,0.0,0.0028571428571428567,0.009136047666335648,0.008474576271186442,0.008467023172905527,0.028571428571428567,0.0,0.01,0.032647127238892765,0.02749048485851398,0.23667324777887463,0.09202164804469273,0.012042682926829269,0.06204862352520558,0.11155268022181146,0.03825865002836075,0.0028619528619528607,0.0070921985815602835,0.014084729687006005,0.035203452527743526,0.021820448877805484,0.03187935034802784,0.01979853760801759,0.001795580110497236,0.0,0.007003408738766655,0.05414144632048423,0.07042755344418052,0.03221757322175732,0.0,0.015711325966850827,0.007711442786069651,0.04690048939641109,0.0,0.014957264957264956,0.0,0.0,0.04631062951496388,0.03915466790524849,0.09411326378539493,0.10454886591060708,0.04648194987353414,0.045130667857940586,0.024446202531645565,0.008862506902263942,0.0,0.0,0.0,0.01685934489402697,0.0,0.05215278758392276,0.179693799716683,0.11188417797748645,0.02728438094140692,0.08589567766953561,0.07317160426255251
ABCC4,0.015149625935162093,0.012281488926379267,0.0,0.0019230769230769197,0.017901234567901235,0.0,0.024031777557100294,0.008474576271186442,0.019162210338680923,0.0,0.09444444444444444,0.0,0.017992556408467083,0.03799851067350653,0.006169792694965447,0.008571927374301673,0.015091463414634146,0.009969014420212132,0.0006469500924214389,0.011032331253545094,0.026430976430976433,0.0070921985815602835,0.005232374328169458,0.001911220715166459,0.0,0.011925754060324822,0.0215881781459324,0.001795580110497236,0.0,0.005144096684226836,0.03311564192417968,0.005106888361045128,0.002928870292887027,0.0,0.011567679558011048,0.0,0.008564437194127236,0.03095238095238095,0.0,0.0,0.0017964071856287414,0.004514963880288957,0.006409660938225731,0.04777807885110419,0.01565627084723149,0.10661071510692113,0.04200357382175564,0.03552215189873417,0.018249585864163448,0.032,0.012987012987012988,0.06818181818181818,0.01685934489402697,0.0,0.013468080463163841,0.07538956085866841,0.007342092463056463,0.01575445065391485,0.022850995122346677,0.008049750487083073
