gene,Allen_Astrocyte,Allen_CGE interneuron,Allen_Committed oligodendrocyte precursor,Allen_Deep-layer corticothalamic and 6b,Allen_Deep-layer intratelencephalic,Allen_Deep-layer near-projecting,Allen_Eccentric medium spiny neuron,Allen_Fibroblast,Allen_Hippocampal CA1-3,Allen_LAMP5-LHX6 and Chandelier,Allen_MGE interneuron,Allen_Medium spiny neuron,Allen_Microglia,Allen_Upper-layer intratelencephalic,Allen_endothelial cell,Allen_pericyte,Allen_vascular associated smooth muscle cell,HRCA_GABAergic amacrine cell,HRCA_H1 horizontal cell,HRCA_H2 horizontal cell,HRCA_Mueller cell,HRCA_OFF midget ganglion cell,HRCA_OFF parasol ganglion cell,HRCA_OFFx cell,HRCA_ON midget ganglion cell,HRCA_ON parasol ganglion cell,HRCA_ON-blue cone bipolar cell,HRCA_S cone cell,HRCA_amacrine cell,HRCA_astrocyte,HRCA_diffuse bipolar 1 cell,HRCA_diffuse bipolar 2 cell,HRCA_diffuse bipolar 3a cell,HRCA_diffuse bipolar 3b cell,HRCA_diffuse bipolar 4 cell,HRCA_diffuse bipolar 6 cell,HRCA_flat midget bipolar cell,HRCA_giant bipolar cell,HRCA_glycinergic amacrine cell,HRCA_invaginating midget bipolar cell,HRCA_microglial cell,HRCA_retinal bipolar neuron,HRCA_retinal cone cell,HRCA_retinal ganglion cell,HRCA_retinal pigment epithelial cell,HRCA_retinal rod cell,HRCA_rod bipolar cell,HRCA_starburst amacrine cell,Mona_B cell,Mona_Schwann cell,Mona_T cell,Mona_astrocyte,Mona_endothelium,Mona_fibroblast,Mona_macrophage,Mona_melanocyte,Mona_microglial cell,Mona_myelinating Schwann cell,Mona_natural killer cell,Mona_pericyte,Mona_pigmented epithelial cell,Mona_vascular associated smooth muscle cell,OPC,Oligodendrocyte
A1BG,2.30453218866205,35.8985240558376,0.218858088357214,24.6150126792753,76.4249545760764,3.50462819634267,5.02214090170693,0.347853915269744,39.4654760786661,7.21506995921994,16.2781138433104,32.231564032369,1.85956905537951,125.546275586105,0.0464481949237677,0.281433457475502,0.344372436970123,17.4418867538748,17.0714788098401,14.8930090436464,6.07576919485409,21.4175299716859,7.64403690097687,3.84932199727669,19.8816241997497,6.79608670313478,2.39871546349766,5.89280880710612,5.86177830435485,7.05808111587201,2.92610546745418,9.68339020914498,4.68179551592728,7.23557362829491,5.18391875004432,4.4155344322382,2.86889366417046,2.63720996260145,14.198259667031,2.64927796751551,17.8290749661606,4.52254124524508,4.25187333684279,17.6535962324399,9.7384866337789,7.9702743575189,4.33700950919721,23.784687161739,0.0,0.514082346823259,0.121963743503684,1.97367652384139,0.0662607503278477,0.130446538646907,0.42188973519723,0.723903449250148,0.286224556414719,0.0,0.0,0.0,0.676524724072245,0.0,0.820544692569478,47.57197315049422
A2M,9.37321362520597,28.3964746165201,0.362347828405983,22.3177274471813,59.456930467481,3.82929185059443,4.3061415927767,1.72767444583973,21.3451858757397,4.39455446290776,20.9190648295342,19.4885156029874,336.976233460996,74.5943733469693,27.6524508382952,7.27471166420822,10.6605728314229,36.7355735703909,1395.50258696608,2225.16615458301,60.4548670226533,55.8222593179779,51.3900312137963,64.0798897193709,49.5317030421444,45.2354911326302,77.1586807425079,69.1241980465145,41.7580841294757,49.198977190049,74.8669206975904,55.5601225215044,62.6541924508519,58.836638187977,80.7712279819254,99.7343648822976,63.5241762144152,87.6618734683962,59.8339019532315,77.2826339395477,654.116169726238,71.4794771024982,76.8799841426931,42.9079207248744,24.9548719990584,178.80753722781,81.5291283749744,40.7527320235156,19.5607839605073,288.65723774126,38.7844704341714,53.3148983063649,1286.18742461385,230.238140711791,257.654088281166,15.4803968378109,470.553170745799,10.4364244172292,22.9453302790145,957.181566509464,25.031414790673,1677.9545240242,31.2284178406875,37.54416008324715
AAAS,30.3821407161849,42.8048736652556,0.492793046632137,26.623869039958,88.6027403931447,7.02375030582158,7.01070578399896,0.771076178847932,30.3560516725396,9.79353710615692,54.9464246994833,42.0613359213665,3.67130819740942,151.84113279787,0.141973727880196,0.221028227578321,0.239563434413998,32.930491184486,27.8254726801726,30.0788581527578,29.9080908622088,35.3459558967122,35.0735428086991,28.1340151859782,34.4117408607982,33.365403044802,37.3799826395051,36.8688235234074,28.1297330234127,37.6154205351767,32.0393770375792,32.3066164472756,29.2932014521133,31.1233525925221,31.0407531933647,38.5650346742272,29.4734722877318,34.2583717257169,32.1749054308559,32.3583017121836,25.6892047899519,34.3920471773079,39.399237156511,36.1939440952124,53.5616764857839,37.5346397970134,35.0428468229439,30.6013294617013,20.4922498633886,14.3943057110513,12.0744106068647,70.2833899788714,19.0830960944201,39.036126690087,25.3133841118338,22.4966918074661,19.7494943926156,26.0910610430729,8.60449885463044,25.4712181564143,48.4842718918442,39.9368909432373,28.355060208180298,48.245436091486795
AAK1,194.206840895098,1526.52067237843,6.94258439225864,1062.3357114946,3401.22717063742,170.003455348892,286.972233140971,7.88613813742782,2028.54489228704,435.760947832349,3259.49699164339,1375.32017054118,170.445519699547,5356.78071637036,5.67369082899004,3.37171010516992,3.30397903295973,1080.74990373191,1211.68582804858,898.056812190892,302.461535976542,1138.54982404892,1303.1087484846,893.665387808929,1131.81856534158,940.719856722155,927.703205507718,2184.64255979761,900.457584436282,423.235758207055,970.50642501608,904.193723049777,951.811586746221,1066.05272122529,787.943098145357,814.929414434273,1190.75799065001,899.060377154176,1361.78103033925,508.56343925445,1027.37648111457,645.997718099463,1681.01540170053,1162.64901768449,482.663743786667,1629.72179950993,725.221144315037,1336.9691417462,162.075067101346,265.266490960802,1241.5909088675,714.727223257057,1316.33606601302,601.521601335551,1325.45700806536,352.48529490411,721.572106721508,292.219883682417,867.907117803724,461.83340288867,1301.85907735636,531.886774834934,574.1317999533039,760.74760125693
AAMP,20.2856808254806,98.9702364594966,0.56381322099971,50.5127366711077,156.199452477938,13.0894529533377,15.4215235769586,0.834849396647385,65.7038070292001,21.6205702253282,111.100192363215,74.5697336946377,6.10338682167038,280.573170491321,0.306733362704126,0.436565070620535,0.334390627202873,63.4455036111913,67.3843439800263,67.9807294829366,52.8567143367461,34.3899263074911,28.0895331903367,73.4767640068404,32.0446984481748,29.9519839314628,71.9614639049297,33.3796604139366,75.7269193322748,57.7932289017285,64.3890985944337,61.2326410463882,54.9791178345777,61.8831955051538,62.6212364260802,77.7377117015147,56.3148042719286,65.4991666673032,66.4564785853496,62.0724796941425,47.1607789427475,70.5464599974619,35.7275901150848,32.3664345071437,29.8241153159479,51.1093760269659,55.7540861001617,76.3316815819519,13.9719885432195,12.8520586705815,12.1963743503684,53.8019093966634,35.3169799247428,38.6447870741463,20.9136768733484,13.4200562514835,15.4561260463948,15.6546366258438,16.0617311953102,32.1741703028391,31.5711537900381,27.5322505745045,25.27604426041995,38.8812412069028
AARS1,31.5923824630609,257.97571052061,1.38851687845173,112.956862635968,452.863765333111,35.8651880556242,35.704305619812,1.40735896552884,128.975535434139,58.7583238543142,284.409709298483,193.056024192081,10.80666163438,699.390733867406,0.277812788506309,0.491478915981609,0.529035917664246,158.848876344667,154.778381017939,152.109496861512,101.121501615487,172.377686076113,171.914082913536,119.5554126213,185.985186848163,157.07878226069,146.321643273357,131.929134016988,185.434011929833,113.469033468695,117.014662077284,108.66597356002,132.57412220511,115.976897869799,120.74890647803,128.050498534908,119.138004849953,199.38828784553,135.639900489807,114.10965938293,97.96405707213,105.897441421613,152.028647887772,202.903250597761,143.034022433628,195.433886366055,103.570447238803,256.237093649662,70.7914086189787,46.2674112140933,30.7348633629282,151.780851115932,76.3323843776806,85.2794246404156,47.7940800016291,54.5711830973188,87.4416019846968,46.9639098775313,24.6662300499406,82.4463114010253,108.469464092917,68.3767981300882,65.59073747279434,125.21226766158051
AASS,256.829241991534,18.0623145503815,8.28182196604715,53.8072031269749,11.9125472066751,20.653826219141,5.95699829899436,7.89048631136869,65.1472407647685,8.77606440399291,9.0963798843038,46.9138980393795,19.7725963004577,29.6516474941184,0.98680504687099,1.62407697655375,1.65698042136349,117.825928456702,169.417563264827,179.343622949753,369.617092722927,127.956233807918,170.31773785791,595.286325343555,121.466811391597,118.793135448913,173.706978148289,194.423922155508,98.4030443007655,420.371007636495,160.522008017613,204.974642454722,163.990760967726,162.696546728095,200.566192995056,128.9822168096,389.282873780489,166.752814558338,195.383030404677,133.592676342479,74.9587990512775,193.588090724115,192.251432044229,113.395626850301,167.988894432686,53.1966235432438,116.875993389144,114.853066665552,39.1215679210146,432.857336025184,18.6604527560636,613.095698360549,274.783331609585,828.596413485155,38.8741256003162,293.90480039556,106.475534986276,396.584127854709,21.2244305080884,469.87694546438,780.70953157937,512.523433771546,496.4885028467905,539.5016308032875
AATK,46.1993481217629,268.908469199276,12.0676320772329,236.837787602719,617.188505515225,43.4078204517232,62.9456153593738,0.381189915483094,274.359629929815,61.7991468302972,336.132687716467,314.041065314211,6.15846369158809,990.022680075277,0.290082123014474,0.146894536340872,0.239563434413998,178.707246631181,102.474275728216,107.723309796038,174.575816820334,111.06843370929,124.806554300889,260.565134609774,113.411206857245,147.207543203196,314.031832762901,102.426321502463,321.161957928734,95.3256131884832,189.901289175688,71.0401772838555,282.033408566024,130.153775385525,136.325766450923,93.8199793125107,288.532713273222,298.562597112206,148.015155053079,176.955274670705,32.5907821962076,246.044385740597,100.946897417632,136.957884456284,91.2983121916772,39.9024420318759,177.000340988168,193.66129814785,7.45172722305039,170.675339145322,6.09818717518418,86.7392383984321,45.25609247392,55.3093323862887,37.2468366216983,29.067507731429,71.4130268254725,553.130494113146,14.3408314243841,27.4821038003417,147.482389847749,29.0450115950817,221.4545277582428,1313.731635017
ABAT,92.3871011130167,600.446586451555,2.9857461060653,207.583273328533,567.535257893096,58.7162915062192,102.992297354803,1.40301079158797,252.50425831168,153.503584634597,877.815152748453,815.191302260704,20.4146766523931,944.095817520476,0.223477164255864,0.262213611599126,0.259527053948498,383.266345574732,151.723416534871,92.7884664573251,212.186672615575,145.554579768986,250.534076903101,115.819305976884,122.166965684522,214.737888904933,303.03772022187,21.2063580097832,339.63166171557,163.29078252191,119.054068918237,141.765214649662,69.3570909490648,144.382582855521,110.757624819349,99.4913079410735,82.2091228135837,160.590872049567,339.78999693289,56.840928843893,134.197338454973,62.7065246009769,19.8431154040037,124.887204100531,76.6905822410088,26.996261727061,44.581417572635,118.187826927404,54.9564882699966,87.6510401333657,76.2273396898022,220.897977694352,53.074861012606,146.295793092506,170.443453019681,39.8703745894697,123.935232927574,213.946700553198,69.9832573509942,54.293912386041,169.131181018061,68.981902538319,441.9593003471395,118.90442809562525
ABCA1,426.318163424089,135.341262083576,2.17553636174952,15.3693454896682,36.99136510631,2.61325253846395,83.5356683607154,15.9954825371537,21.3857688325211,37.2725470211531,176.706890174403,42.1569957480657,54.650748871504,70.5839075821719,1.66512396896526,2.28029742861858,0.558981346965996,3.4011628931313,1.60855879363235,1.63153750759048,7.62843517849601,5.46108773094423,2.8703512057885,177.29524258045,6.68287314165894,1.90659445970297,23.3874757691021,239.821811057621,5.06811393045768,206.054450459252,108.635360056847,243.899197181028,9.77292834472251,48.6410571662888,6.5144160563511,255.007240834307,169.821792916964,14.1496457608808,4.16416725982983,4.76251525677885,555.576981203586,151.86149241555,200.465065570207,5.71864316704357,697.519105144413,58.2665059755376,100.221496851087,4.14393003127205,115.501771957281,948.481929888913,19.7581264475967,762.915689033963,380.734271383813,1324.42370688205,1334.43723242884,404.829082772967,127.083703048135,1007.11495626262,21.2244305080884,272.139857144848,1164.29905012833,150.065893241255,146.069452730249,74.19450769183365
